Step,HP,MaxHP,Attack,HasKey,CurrentRoom,Death
1,200,200,20,False,NEXUS,False
2,200,200,20,False,EmptyRoom,False
3,200,200,20,False,BattleRoom,False
4,128,200,20,False,SafeRoom,False
5,128,200,20,False,EmptyRoom2,False
6,200,200,20,False,BattleRoom2,False
7,200,200,20,False,BattleRoom2,True
8,200,200,20,False,BattleRoom3,False
9,25,205,25,False,SafeRoom2,False
10,205,205,25,False,EmptyRoom2,False
11,205,205,25,False,BattleRoom4,False
12,205,205,25,False,HidenTreasure3,True
13,205,205,35,False,SafeRoom2,False
14,205,205,35,False,BattleRoom3,False
15,205,205,35,False,BattleRoom2,False
16,205,205,35,False,HidenTreasure2,False
17,245,245,35,False,BattleRoom2,False
18,245,245,35,False,EmptyRoom2,False
19,245,245,35,False,SafeRoom,False
20,245,245,35,False,EmptyRoom2,False
21,245,245,35,False,BattleRoom2,False
22,245,245,35,False,BattleRoom3,False
23,245,245,35,False,SafeRoom2,False
24,245,245,35,False,EmptyRoom2,False
25,245,245,35,False,BattleRoom4,False
26,245,245,35,False,BattleRoom3,True
27,245,245,35,False,BattleRoom2,False
28,245,245,35,False,EmptyRoom2,False
29,245,245,35,False,SafeRoom,False
30,245,245,35,False,BattleRoom,False
31,245,245,35,False,SafeRoom,False
32,245,245,35,False,BattleRoom,False
33,245,245,35,False,EmptyRoom,False
34,245,245,35,False,NEXUS,False
35,245,245,35,False,Start,False
36,245,245,35,False,NEXUS,False
37,245,245,35,False,Start,False
38,245,245,35,False,NEXUS,False
39,245,245,35,False,EmptyRoom,False
40,245,245,35,False,HiddenTreasure,False
41,165,285,35,False,EmptyRoom,False
42,165,285,35,False,BattleRoom,False
43,165,285,35,False,HiddenTreasure2,False
44,205,325,35,False,BattleRoom,False
45,205,325,35,False,SafeRoom,False
46,205,325,35,False,EmptyRoom2,False
47,325,325,35,False,BattleRoom2,False
48,325,325,35,False,BattleRoom3,False
49,325,325,35,False,BattleRoom2,False
50,325,325,35,False,EmptyRoom2,False
51,325,325,35,False,SafeRoom,False
52,325,325,35,False,EmptyRoom2,False
53,325,325,35,False,SafeRoom,False
54,325,325,35,False,BattleRoom,False
55,325,325,35,False,HiddenTreasure2,False
56,325,325,35,False,BattleRoom,False
57,325,325,35,False,EmptyRoom,False
58,325,325,35,False,NEXUS,False
59,325,325,35,False,Start,False
60,325,325,35,False,NEXUS,False
61,325,325,35,False,EmptyRoom,False
62,325,325,35,False,BattleRoom,False
63,325,325,35,False,EmptyRoom,False
64,325,325,35,False,HiddenTreasure,False
65,325,325,35,False,EmptyRoom,False
66,325,325,35,False,NEXUS,False
67,325,325,35,False,EmptyRoom,False
68,325,325,35,False,BattleRoom,False
69,325,325,35,False,SafeRoom,False
70,325,325,35,False,EmptyRoom2,False
71,325,325,35,False,SafeRoom,False
72,325,325,35,False,BattleRoom,False
73,325,325,35,False,EmptyRoom,False
74,325,325,35,False,HiddenTreasure,False
75,325,325,35,False,EmptyRoom,False
76,325,325,35,False,NEXUS,False
77,325,325,35,False,Start,False
78,325,325,35,False,NEXUS,False
79,325,325,35,False,EmptyRoom,False
80,325,325,35,False,BattleRoom,False
81,325,325,35,False,SafeRoom,False
82,325,325,35,False,EmptyRoom2,False
83,325,325,35,False,SafeRoom,False
84,325,325,35,False,BattleRoom,False
85,325,325,35,False,HiddenTreasure2,False
86,325,325,35,False,BattleRoom,False
87,325,325,35,False,SafeRoom,False
88,325,325,35,False,BattleRoom,False
89,325,325,35,False,EmptyRoom,False
90,325,325,35,False,NEXUS,False
91,325,325,35,False,EmptyRoom,False
92,325,325,35,False,HiddenTreasure,False
93,325,325,35,False,EmptyRoom,False
94,325,325,35,False,BattleRoom,False
95,325,325,35,False,SafeRoom,False
96,325,325,35,False,EmptyRoom2,False
97,325,325,35,False,BattleRoom2,False
98,325,325,35,False,BattleRoom3,False
99,325,325,35,False,SafeRoom2,False
100,325,325,35,False,EmptyRoom2,False
101,325,325,35,False,BattleRoom4,False
102,325,325,35,False,HidenTreasure3,True
103,325,325,35,False,SafeRoom2,False
104,325,325,35,False,EmptyRoom2,False
105,325,325,35,False,SafeRoom2,False
106,325,325,35,False,BattleRoom3,False
107,325,325,35,False,BattleRoom2,False
108,325,325,35,False,EmptyRoom2,False
109,325,325,35,False,SafeRoom,False
110,325,325,35,False,EmptyRoom2,False
111,325,325,35,False,BattleRoom2,False
112,325,325,35,False,HidenTreasure2,False
113,325,325,35,False,BattleRoom2,False
114,325,325,35,False,BattleRoom3,False
115,325,325,35,False,SafeRoom2,False
116,325,325,35,False,BattleRoom3,False
117,325,325,35,False,BattleRoom2,False
118,325,325,35,False,EmptyRoom2,False
119,325,325,35,False,SafeRoom,False
120,325,325,35,False,BattleRoom,False
121,325,325,35,False,HiddenTreasure2,False
122,325,325,35,False,BattleRoom,False
123,325,325,35,False,EmptyRoom,False
124,325,325,35,False,BattleRoom,False
125,325,325,35,False,SafeRoom,False
126,325,325,35,False,BattleRoom,False
127,325,325,35,False,EmptyRoom,False
128,325,325,35,False,NEXUS,False
129,325,325,35,False,Start,False
130,325,325,35,False,NEXUS,False
131,325,325,35,False,EmptyRoom,False
132,325,325,35,False,HiddenTreasure,False
133,325,325,35,False,EmptyRoom,False
134,325,325,35,False,NEXUS,False
135,325,325,35,False,Start,False
136,325,325,35,False,NEXUS,False
137,325,325,35,False,Start,False
138,325,325,35,False,NEXUS,False
139,325,325,35,False,EmptyRoom,False
140,325,325,35,False,BattleRoom,False
141,325,325,35,False,SafeRoom,False
142,325,325,35,False,BattleRoom,False
143,325,325,35,False,EmptyRoom,False
144,325,325,35,False,HiddenTreasure,False
145,325,325,35,False,EmptyRoom,False
146,325,325,35,False,NEXUS,False
147,325,325,35,False,Start,False
148,325,325,35,False,NEXUS,False
149,325,325,35,False,EmptyRoom,False
150,325,325,35,False,BattleRoom,False
151,325,325,35,False,SafeRoom,False
152,325,325,35,False,EmptyRoom2,False
153,325,325,35,False,SafeRoom,False
154,325,325,35,False,BattleRoom,False
155,325,325,35,False,HiddenTreasure2,False
156,325,325,35,False,BattleRoom,False
157,325,325,35,False,EmptyRoom,False
158,325,325,35,False,NEXUS,False
159,325,325,35,False,Start,False
160,325,325,35,False,NEXUS,False
161,325,325,35,False,EmptyRoom,False
162,325,325,35,False,HiddenTreasure,False
163,325,325,35,False,EmptyRoom,False
164,325,325,35,False,NEXUS,False
165,325,325,35,False,Start,False
166,325,325,35,False,NEXUS,False
167,325,325,35,False,EmptyRoom,False
168,325,325,35,False,NEXUS,False
169,325,325,35,False,Start,False
170,325,325,35,False,NEXUS,False
171,325,325,35,False,Start,False
172,325,325,35,False,NEXUS,False
173,325,325,35,False,EmptyRoom,False
174,325,325,35,False,BattleRoom,False
175,325,325,35,False,SafeRoom,False
176,325,325,35,False,BattleRoom,False
177,325,325,35,False,HiddenTreasure2,False
178,325,325,35,False,BattleRoom,False
179,325,325,35,False,EmptyRoom,False
180,325,325,35,False,HiddenTreasure,False
181,325,325,35,False,EmptyRoom,False
182,325,325,35,False,NEXUS,False
183,325,325,35,False,Start,False
184,325,325,35,False,NEXUS,False
185,325,325,35,False,EmptyRoom,False
186,325,325,35,False,BattleRoom,False
187,325,325,35,False,EmptyRoom,False
188,325,325,35,False,HiddenTreasure,False
189,325,325,35,False,EmptyRoom,False
190,325,325,35,False,NEXUS,False
191,325,325,35,False,Start,False
192,325,325,35,False,NEXUS,False
193,325,325,35,False,EmptyRoom,False
194,325,325,35,False,NEXUS,False
195,325,325,35,False,Start,False
196,325,325,35,False,NEXUS,False
197,325,325,35,False,Start,False
198,325,325,35,False,NEXUS,False
199,325,325,35,False,Start,False
200,325,325,35,False,NEXUS,False
201,325,325,35,False,EmptyRoom,False
202,325,325,35,False,BattleRoom,False
203,325,325,35,False,EmptyRoom,False
204,325,325,35,False,BattleRoom,False
205,325,325,35,False,SafeRoom,False
206,325,325,35,False,EmptyRoom2,False
207,325,325,35,False,BattleRoom2,False
208,325,325,35,False,BattleRoom3,False
209,325,325,35,False,BattleRoom2,False
210,325,325,35,False,HidenTreasure2,False
211,325,325,35,False,BattleRoom2,False
212,325,325,35,False,EmptyRoom2,False
213,325,325,35,False,SafeRoom,False
214,325,325,35,False,EmptyRoom2,False
215,325,325,35,False,BattleRoom2,False
216,325,325,35,False,EmptyRoom2,False
217,325,325,35,False,SafeRoom,False
218,325,325,35,False,BattleRoom,False
219,325,325,35,False,EmptyRoom,False
220,325,325,35,False,HiddenTreasure,False
221,325,325,35,False,EmptyRoom,False
222,325,325,35,False,NEXUS,False
223,325,325,35,False,Start,False
224,325,325,35,False,NEXUS,False
225,325,325,35,False,EmptyRoom,False
226,325,325,35,False,BattleRoom,False
227,325,325,35,False,EmptyRoom,False
228,325,325,35,False,HiddenTreasure,False
229,325,325,35,False,EmptyRoom,False
230,325,325,35,False,NEXUS,False
231,325,325,35,False,Start,False
232,325,325,35,False,NEXUS,False
233,325,325,35,False,EmptyRoom,False
234,325,325,35,False,BattleRoom,False
235,325,325,35,False,HiddenTreasure2,False
236,325,325,35,False,BattleRoom,False
237,325,325,35,False,SafeRoom,False
238,325,325,35,False,EmptyRoom2,False
239,325,325,35,False,BattleRoom2,False
240,325,325,35,False,BattleRoom3,False
241,325,325,35,False,SafeRoom2,False
242,325,325,35,False,EmptyRoom2,False
243,325,325,35,False,BattleRoom4,False
244,325,325,35,False,HidenTreasure3,True
245,325,325,35,False,SafeRoom2,False
246,325,325,35,False,BattleRoom3,False
247,325,325,35,False,BattleRoom2,False
248,325,325,35,False,HidenTreasure2,False
249,325,325,35,False,BattleRoom2,False
250,325,325,35,False,EmptyRoom2,False
251,325,325,35,False,BattleRoom2,False
252,325,325,35,False,BattleRoom3,False
253,325,325,35,False,BattleRoom2,False
254,325,325,35,False,EmptyRoom2,False
255,325,325,35,False,SafeRoom,False
256,325,325,35,False,BattleRoom,False
257,325,325,35,False,EmptyRoom,False
258,325,325,35,False,HiddenTreasure,False
259,325,325,35,False,EmptyRoom,False
260,325,325,35,False,NEXUS,False
261,325,325,35,False,Start,False
262,325,325,35,False,NEXUS,False
263,325,325,35,False,Start,False
264,325,325,35,False,NEXUS,False
265,325,325,35,False,EmptyRoom,False
266,325,325,35,False,BattleRoom,False
267,325,325,35,False,SafeRoom,False
268,325,325,35,False,BattleRoom,False
269,325,325,35,False,HiddenTreasure2,False
270,325,325,35,False,BattleRoom,False
271,325,325,35,False,EmptyRoom,False
272,325,325,35,False,NEXUS,False
273,325,325,35,False,EmptyRoom,False
274,325,325,35,False,BattleRoom,False
275,325,325,35,False,EmptyRoom,False
276,325,325,35,False,HiddenTreasure,False
277,325,325,35,False,EmptyRoom,False
278,325,325,35,False,NEXUS,False
279,325,325,35,False,Start,False
280,325,325,35,False,NEXUS,False
281,325,325,35,False,EmptyRoom,False
282,325,325,35,False,BattleRoom,False
283,325,325,35,False,SafeRoom,False
284,325,325,35,False,BattleRoom,False
285,325,325,35,False,HiddenTreasure2,False
286,325,325,35,False,BattleRoom,False
287,325,325,35,False,EmptyRoom,False
288,325,325,35,False,HiddenTreasure,False
289,325,325,35,False,EmptyRoom,False
290,325,325,35,False,NEXUS,False
291,325,325,35,False,Start,False
292,325,325,35,False,NEXUS,False
293,325,325,35,False,EmptyRoom,False
294,325,325,35,False,BattleRoom,False
295,325,325,35,False,SafeRoom,False
296,325,325,35,False,EmptyRoom2,False
297,325,325,35,False,SafeRoom,False
298,325,325,35,False,BattleRoom,False
299,325,325,35,False,EmptyRoom,False
300,325,325,35,False,HiddenTreasure,False
301,325,325,35,False,EmptyRoom,False
302,325,325,35,False,NEXUS,False
303,325,325,35,False,Start,False
304,325,325,35,False,NEXUS,False
305,325,325,35,False,EmptyRoom,False
306,325,325,35,False,BattleRoom,False
307,325,325,35,False,EmptyRoom,False
308,325,325,35,False,HiddenTreasure,False
309,325,325,35,False,EmptyRoom,False
310,325,325,35,False,BattleRoom,False
311,325,325,35,False,SafeRoom,False
312,325,325,35,False,BattleRoom,False
313,325,325,35,False,HiddenTreasure2,False
314,325,325,35,False,BattleRoom,False
315,325,325,35,False,EmptyRoom,False
316,325,325,35,False,NEXUS,False
317,325,325,35,False,Start,False
318,325,325,35,False,NEXUS,False
319,325,325,35,False,EmptyRoom,False
320,325,325,35,False,BattleRoom,False
321,325,325,35,False,EmptyRoom,False
322,325,325,35,False,HiddenTreasure,False
323,325,325,35,False,EmptyRoom,False
324,325,325,35,False,NEXUS,False
325,325,325,35,False,Start,False
326,325,325,35,False,NEXUS,False
327,325,325,35,False,EmptyRoom,False
328,325,325,35,False,BattleRoom,False
329,325,325,35,False,SafeRoom,False
330,325,325,35,False,EmptyRoom2,False
331,325,325,35,False,BattleRoom2,False
332,325,325,35,False,HidenTreasure2,False
333,325,325,35,False,BattleRoom2,False
334,325,325,35,False,BattleRoom3,False
335,325,325,35,False,BattleRoom2,False
336,325,325,35,False,EmptyRoom2,False
337,325,325,35,False,SafeRoom,False
338,325,325,35,False,BattleRoom,False
339,325,325,35,False,HiddenTreasure2,False
340,325,325,35,False,BattleRoom,False
341,325,325,35,False,SafeRoom,False
342,325,325,35,False,EmptyRoom2,False
343,325,325,35,False,BattleRoom2,False
344,325,325,35,False,EmptyRoom2,False
345,325,325,35,False,BattleRoom2,False
346,325,325,35,False,BattleRoom3,False
347,325,325,35,False,SafeRoom2,False
348,325,325,35,False,EmptyRoom2,False
349,325,325,35,False,BattleRoom4,False
350,325,325,35,False,HidenTreasure3,True
351,325,325,35,False,SafeRoom2,False
352,325,325,35,False,EmptyRoom2,False
353,325,325,35,False,SafeRoom2,False
354,325,325,35,False,BattleRoom3,False
355,325,325,35,False,BattleRoom2,False
356,325,325,35,False,EmptyRoom2,False
357,325,325,35,False,SafeRoom,False
358,325,325,35,False,BattleRoom,False
359,325,325,35,False,EmptyRoom,False
360,325,325,35,False,NEXUS,False
361,325,325,35,False,Start,False
362,325,325,35,False,NEXUS,False
363,325,325,35,False,EmptyRoom,False
364,325,325,35,False,BattleRoom,False
365,325,325,35,False,EmptyRoom,False
366,325,325,35,False,HiddenTreasure,False
367,325,325,35,False,EmptyRoom,False
368,325,325,35,False,NEXUS,False
369,325,325,35,False,Start,False
370,325,325,35,False,NEXUS,False
371,325,325,35,False,Start,False
372,325,325,35,False,NEXUS,False
373,325,325,35,False,EmptyRoom,False
374,325,325,35,False,NEXUS,False
375,325,325,35,False,Start,False
376,325,325,35,False,NEXUS,False
377,325,325,35,False,Start,False
378,325,325,35,False,NEXUS,False
379,325,325,35,False,EmptyRoom,False
380,325,325,35,False,BattleRoom,False
381,325,325,35,False,EmptyRoom,False
382,325,325,35,False,HiddenTreasure,False
383,325,325,35,False,EmptyRoom,False
384,325,325,35,False,NEXUS,False
385,325,325,35,False,Start,False
386,325,325,35,False,NEXUS,False
387,325,325,35,False,Start,False
388,325,325,35,False,NEXUS,False
389,325,325,35,False,EmptyRoom,False
