Turn,PlayerHP,EnemiesRemaining,EnemyCurrentHP,Event
6,245,8,20,Player took 80 damage
6,245,7,20,Enemy killed
6,245,7,5,Player dealt 35 damage
7,175,7,5,Player took 70 damage
7,175,6,20,Enemy killed
7,175,5,20,Enemy killed
7,175,5,10,Player dealt 35 damage
8,125,5,10,Player took 50 damage
8,125,4,20,Enemy killed
8,125,3,20,Enemy killed
8,125,3,15,Player dealt 35 damage
9,95,3,15,Player took 30 damage
9,95,2,20,Enemy killed
9,95,1,20,Enemy killed
9,95,1,20,Player dealt 35 damage
10,85,1,20,Player took 10 damage
10,85,0,20,Enemy killed
